upstream;category;language;cve_id;fix_sha;filepath;churn;fork;fork_pushed;sha_match;status;sim_2a;label_2a;sim_patch;sim_vuln;delta;label_2b;method;ts
element-hq/element-x-android;client;kotlin;CVE-2025-27599;dc058544d7e693c04298191c1aadd5b39c9be52e;features/call/impl/src/main/kotlin/io/element/android/features/call/impl/utils/CallIntentDataParser.kt;13;Gua-ra/gua-android;2026-08-31T23:03:15Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:20:07.462395+00:00
element-hq/element-x-android;client;kotlin;CVE-2025-27599;dc058544d7e693c04298191c1aadd5b39c9be52e;features/call/impl/src/main/kotlin/io/element/android/features/call/impl/utils/CallIntentDataParser.kt;13;jekahu/element-x-android;2026-08-31T19:00:02Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:20:07.734655+00:00
element-hq/element-x-android;client;kotlin;CVE-2025-27599;dc058544d7e693c04298191c1aadd5b39c9be52e;features/call/impl/src/main/kotlin/io/element/android/features/call/impl/utils/CallIntentDataParser.kt;13;hayaksi1/element-x-android;2026-08-31T09:24:42Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:20:08.009382+00:00
element-hq/element-x-android;client;kotlin;CVE-2025-27599;dc058544d7e693c04298191c1aadd5b39c9be52e;features/call/impl/src/test/kotlin/io/element/android/features/call/utils/CallIntentDataParserTest.kt;31;Gua-ra/gua-android;2026-08-31T23:03:15Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:20:09.439507+00:00
element-hq/element-x-android;client;kotlin;CVE-2025-27599;dc058544d7e693c04298191c1aadd5b39c9be52e;features/call/impl/src/test/kotlin/io/element/android/features/call/utils/CallIntentDataParserTest.kt;31;jekahu/element-x-android;2026-08-31T19:00:02Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:20:09.721169+00:00
element-hq/element-x-android;client;kotlin;CVE-2025-27599;dc058544d7e693c04298191c1aadd5b39c9be52e;features/call/impl/src/test/kotlin/io/element/android/features/call/utils/CallIntentDataParserTest.kt;31;hayaksi1/element-x-android;2026-08-31T09:24:42Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:20:10.009655+00:00
matrix-nio/matrix-nio;sdk;python;CVE-2022-39254;b1cbf234a831daa160673defd596e6450e9c29f0;nio/crypto/olm_machine.py;54;mindroom-ai/mindroom-nio;2026-08-29T21:49:47Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:20:32.777497+00:00
matrix-nio/matrix-nio;sdk;python;CVE-2022-39254;b1cbf234a831daa160673defd596e6450e9c29f0;nio/crypto/olm_machine.py;54;pangeachat/matrix-nio;2026-05-06T17:26:00Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:20:33.045615+00:00
matrix-nio/matrix-nio;sdk;python;CVE-2022-39254;b1cbf234a831daa160673defd596e6450e9c29f0;nio/crypto/olm_machine.py;54;eleanor-clifford/matrix-nio;2025-09-19T11:36:23Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:20:33.295588+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk-base/src/room/room_info.rs;24;zecakeh/matrix-rust-sdk;2026-08-31T18:26:38Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:20:58.321565+00:00
