upstream;categoria;linguagem;cve_id;fork;status;arquivo;eh_arquivo_de_teste;fix_sha;data_fix_upstream;data_ultimo_toque_fork;lag_dias;lag_confiavel;sim_2a;delta;metrica;fork_created_at;fork_pushed_at;ahead_by;behind_by;stars
element-hq/element-android;client;kotlin;CVE-2024-26132;luki-ev/synod-android;CORRIGIDO;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;nao;8f9695a9a8d944cb9b92568cbd76578c51d32e07;2024-02-16T10:51:56Z;2025-01-14T09:27:57Z;332.9;sim;1.0;0.0511;lev+zss;2020-03-25T13:21:07Z;2026-08-23T19:03:08Z;272;14;5
element-hq/element-android;client;kotlin;CVE-2024-26132;H1d3r/element-android;CORRIGIDO;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;nao;8f9695a9a8d944cb9b92568cbd76578c51d32e07;2024-02-16T10:51:56Z;2025-01-14T09:27:57Z;332.9;sim;1.0;0.0511;lev+zss;2025-08-01T07:36:49Z;2026-08-21T10:43:26Z;35;76;0
element-hq/element-android;client;kotlin;CVE-2024-26132;validkanaheiuser/element-android;CORRIGIDO;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;nao;8f9695a9a8d944cb9b92568cbd76578c51d32e07;2024-02-16T10:51:56Z;2025-01-14T09:27:57Z;332.9;sim;1.0;0.0511;lev+zss;2026-05-16T21:20:36Z;2026-08-19T11:21:58Z;29;6;0
element-hq/element-android;client;kotlin;CVE-2024-26131;luki-ev/synod-android;CORRIGIDO;vector/src/main/java/im/vector/app/features/MainActivity.kt;nao;53734255ec270b0814946350787393dfcaa2a5a9;2024-02-16T10:51:16Z;2025-07-16T13:03:13Z;516.1;sim;0.9727;0.0644;lev_only;2020-03-25T13:21:07Z;2026-08-23T19:03:08Z;272;14;5
element-hq/element-android;client;kotlin;CVE-2024-26131;H1d3r/element-android;CORRIGIDO;vector/src/main/java/im/vector/app/features/MainActivity.kt;nao;53734255ec270b0814946350787393dfcaa2a5a9;2024-02-16T10:51:16Z;2025-07-16T13:03:13Z;516.1;sim;0.9727;0.0644;lev_only;2025-08-01T07:36:49Z;2026-08-21T10:43:26Z;35;76;0
element-hq/element-android;client;kotlin;CVE-2024-26131;validkanaheiuser/element-android;CORRIGIDO;vector/src/main/java/im/vector/app/features/MainActivity.kt;nao;53734255ec270b0814946350787393dfcaa2a5a9;2024-02-16T10:51:16Z;2026-08-16T16:22:54Z;912.2;sim;0.9109;0.0627;lev_only;2026-05-16T21:20:36Z;2026-08-19T11:21:58Z;29;6;0
element-hq/element-x-android;client;kotlin;CVE-2025-27599;Gua-ra/gua-android;FILE_NOT_FOUND;features/call/impl/src/main/kotlin/io/element/android/features/call/impl/utils/CallIntentDataParser.kt;nao;dc058544d7e693c04298191c1aadd5b39c9be52e;2025-04-17T09:58:13Z;;;nao;;;lev_only;2026-06-20T09:37:38Z;2026-09-02T02:19:56Z;86;1146;0
element-hq/element-x-android;client;kotlin;CVE-2025-27599;jekahu/element-x-android;FILE_NOT_FOUND;features/call/impl/src/main/kotlin/io/element/android/features/call/impl/utils/CallIntentDataParser.kt;nao;dc058544d7e693c04298191c1aadd5b39c9be52e;2025-04-17T09:58:13Z;;;nao;;;lev_only;2026-05-12T12:48:28Z;2026-09-01T19:00:02Z;86;0;0
element-hq/element-x-android;client;kotlin;CVE-2025-27599;hayaksi1/element-x-android;FILE_NOT_FOUND;features/call/impl/src/main/kotlin/io/element/android/features/call/impl/utils/CallIntentDataParser.kt;nao;dc058544d7e693c04298191c1aadd5b39c9be52e;2025-04-17T09:58:13Z;;;nao;;;lev_only;2026-07-20T19:07:28Z;2026-09-01T19:24:32Z;297;42;0
element-hq/element-x-android;client;kotlin;CVE-2025-27599;Gua-ra/gua-android;FILE_NOT_FOUND;features/call/impl/src/test/kotlin/io/element/android/features/call/utils/CallIntentDataParserTest.kt;sim;dc058544d7e693c04298191c1aadd5b39c9be52e;2025-04-17T09:58:13Z;;;nao;;;lev_only;2026-06-20T09:37:38Z;2026-09-02T02:19:56Z;86;1146;0
element-hq/element-x-android;client;kotlin;CVE-2025-27599;jekahu/element-x-android;FILE_NOT_FOUND;features/call/impl/src/test/kotlin/io/element/android/features/call/utils/CallIntentDataParserTest.kt;sim;dc058544d7e693c04298191c1aadd5b39c9be52e;2025-04-17T09:58:13Z;;;nao;;;lev_only;2026-05-12T12:48:28Z;2026-09-01T19:00:02Z;86;0;0
element-hq/element-x-android;client;kotlin;CVE-2025-27599;hayaksi1/element-x-android;FILE_NOT_FOUND;features/call/impl/src/test/kotlin/io/element/android/features/call/utils/CallIntentDataParserTest.kt;sim;dc058544d7e693c04298191c1aadd5b39c9be52e;2025-04-17T09:58:13Z;;;nao;;;lev_only;2026-07-20T19:07:28Z;2026-09-01T19:24:32Z;297;42;0
matrix-nio/matrix-nio;sdk;python;CVE-2022-39254;mindroom-ai/mindroom-nio;FILE_NOT_FOUND;nio/crypto/olm_machine.py;nao;b1cbf234a831daa160673defd596e6450e9c29f0;2022-09-28T14:02:39Z;;;nao;;;lev_only;2026-04-28T02:43:57Z;2026-08-29T21:49:47Z;54;0;2
matrix-nio/matrix-nio;sdk;python;CVE-2022-39254;pangeachat/matrix-nio;FILE_NOT_FOUND;nio/crypto/olm_machine.py;nao;b1cbf234a831daa160673defd596e6450e9c29f0;2022-09-28T14:02:39Z;;;nao;;;lev_only;2024-02-28T17:02:47Z;2026-05-06T17:26:00Z;8;7;0
matrix-nio/matrix-nio;sdk;python;CVE-2022-39254;eleanor-clifford/matrix-nio;FILE_NOT_FOUND;nio/crypto/olm_machine.py;nao;b1cbf234a831daa160673defd596e6450e9c29f0;2022-09-28T14:02:39Z;;;nao;;;lev_only;2025-07-09T14:10:17Z;2025-09-19T11:36:23Z;24;4;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;zecakeh/matrix-rust-sdk;FILE_NOT_FOUND;crates/matrix-sdk-base/src/room/room_info.rs;nao;4ea0418abefab2aa93f8851a4d39c723e703e6b0;2025-12-03T15:54:58Z;;;nao;;;lev_only;2021-03-09T12:54:06Z;2026-08-31T18:26:38Z;1;10350;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;tchapgouv/matrix-rust-sdk;CORRIGIDO;crates/matrix-sdk-base/src/room/room_info.rs;nao;4ea0418abefab2aa93f8851a4d39c723e703e6b0;2025-12-03T15:54:58Z;2025-06-29T14:59:37Z;-157.0;nao;0.8961;-0.012;lev_only;2024-09-02T14:33:01Z;2026-08-31T17:08:21Z;6;3440;0
