upstream;category;cve;fork;fix_sha;filepath;tipo;auto_status;sim_ast;gt_label;gt_confidence;is_removal_patch;lines_checked;lines_present;lines_absent;evidence_file
matrix-org/matrix-appservice-irc;bridge;CVE-2023-38700;jamesjen/matrix-appservice-irc;8bbd2b69a16cbcbeffdd9b5c973fd89d61498d75;src/bridge/MatrixHandler.ts;L2_CORRIGIDO;CORRIGIDO;0.9561;CONFIRMED_PATCHED;1.0;False;15;15;0;evidencias_gt_dissertacao/CVE-2023-38700/jamesjen_matrix-appservice-irc_8bbd2b69_src_bridge_MatrixHandler.ts
matrix-org/matrix-appservice-irc;bridge;CVE-2024-39691;oI0ck/matrix-appservice-irc;1835e047f269001054be4c68867797aa12372a0f;src/bridge/MatrixHandler.ts;L2_CORRIGIDO;CORRIGIDO;0.9942;CONFIRMED_PATCHED;1.0;False;1;1;0;evidencias_gt_dissertacao/CVE-2024-39691/oI0ck_matrix-appservice-irc_1835e047_src_bridge_MatrixHandler.ts
matrix-org/matrix-appservice-irc;bridge;CVE-2024-39691;jamesjen/matrix-appservice-irc;1835e047f269001054be4c68867797aa12372a0f;src/bridge/MatrixHandler.ts;L2_CORRIGIDO;CORRIGIDO;0.9942;CONFIRMED_PATCHED;1.0;False;1;1;0;evidencias_gt_dissertacao/CVE-2024-39691/jamesjen_matrix-appservice-irc_1835e047_src_bridge_MatrixHandler.ts
matrix-org/matrix-appservice-irc;bridge;CVE-2024-52505;oI0ck/matrix-appservice-irc;4a024eae1a992b1ea67e71a998e0b833b54221e2;src/provisioning/Schema.ts;L2_CORRIGIDO;CORRIGIDO;0.9944;CONFIRMED_PATCHED;1.0;False;1;1;0;evidencias_gt_dissertacao/CVE-2024-52505/oI0ck_matrix-appservice-irc_4a024eae_src_provisioning_Schema.ts
matrix-org/matrix-appservice-irc;bridge;CVE-2024-52505;jamesjen/matrix-appservice-irc;4a024eae1a992b1ea67e71a998e0b833b54221e2;src/provisioning/Schema.ts;L2_CORRIGIDO;CORRIGIDO;0.9944;CONFIRMED_PATCHED;1.0;False;1;1;0;evidencias_gt_dissertacao/CVE-2024-52505/jamesjen_matrix-appservice-irc_4a024eae_src_provisioning_Schema.ts
matrix-org/matrix-appservice-irc;bridge;CVE-2025-27146;oI0ck/matrix-appservice-irc;74f02c8e11f16ed1b355700092c1aa9c036a11bd;src/irc/BridgedClient.ts;L1_SHA;CORRIGIDO;1.0;CONFIRMED_PATCHED;1.0;False;0;0;0;
matrix-org/matrix-appservice-irc;bridge;CVE-2025-27146;jamesjen/matrix-appservice-irc;74f02c8e11f16ed1b355700092c1aa9c036a11bd;src/irc/BridgedClient.ts;L1_SHA;CORRIGIDO;1.0;CONFIRMED_PATCHED;1.0;False;0;0;0;
matrix-org/matrix-hookshot;integration;CVE-2025-23197;maladesov/matrix-hookshot;e51d8210233ac759e7f7dfebc2c4f1bf6ce94802;src/github/GithubInstance.ts;L2_CORRIGIDO;CORRIGIDO;0.9502;CONFIRMED_PATCHED;1.0;False;7;7;0;evidencias_gt_dissertacao/CVE-2025-23197/maladesov_matrix-hookshot_e51d8210_src_github_GithubInstance.ts
matrix-org/matrix-hookshot;integration;CVE-2025-23197;yncyrydybyl/matrix-hookshot;e51d8210233ac759e7f7dfebc2c4f1bf6ce94802;src/github/GithubInstance.ts;L2_CORRIGIDO;CORRIGIDO;0.9502;CONFIRMED_PATCHED;1.0;False;7;7;0;evidencias_gt_dissertacao/CVE-2025-23197/yncyrydybyl_matrix-hookshot_e51d8210_src_github_GithubInstance.ts
matrix-org/matrix-hookshot;integration;CVE-2025-23197;Rath-debug/matrix-hookshot;e51d8210233ac759e7f7dfebc2c4f1bf6ce94802;src/github/GithubInstance.ts;L2_CORRIGIDO;CORRIGIDO;0.9502;CONFIRMED_PATCHED;1.0;False;7;7;0;evidencias_gt_dissertacao/CVE-2025-23197/Rath-debug_matrix-hookshot_e51d8210_src_github_GithubInstance.ts
matrix-org/matrix-hookshot;integration;CVE-2023-43656;maladesov/matrix-hookshot;dc126afa6af86d66aefcd23a825326f405bcc894;src/Connections/GenericHook.ts;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5136;AMBIGUOUS;0.3333;False;15;5;10;evidencias_gt_dissertacao/CVE-2023-43656/maladesov_matrix-hookshot_dc126afa_src_Connections_GenericHook.ts
matrix-org/matrix-hookshot;integration;CVE-2023-43656;yncyrydybyl/matrix-hookshot;dc126afa6af86d66aefcd23a825326f405bcc894;src/Connections/GenericHook.ts;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5457;AMBIGUOUS;0.3333;False;15;5;10;evidencias_gt_dissertacao/CVE-2023-43656/yncyrydybyl_matrix-hookshot_dc126afa_src_Connections_GenericHook.ts
matrix-org/matrix-hookshot;integration;CVE-2023-43656;Rath-debug/matrix-hookshot;dc126afa6af86d66aefcd23a825326f405bcc894;src/Connections/GenericHook.ts;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5457;AMBIGUOUS;0.3333;False;15;5;10;evidencias_gt_dissertacao/CVE-2023-43656/Rath-debug_matrix-hookshot_dc126afa_src_Connections_GenericHook.ts
